symbol,full_name,sector,sub_industry,date_first_added,cik
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,804328
DGX,Quest Diagnostics,Health Care,Health Care Facilities,,1022079
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,12/21/07,315852
RTN,Raytheon Co.,Industrials,Aerospace & Defense,,1047122
O,Realty Income Corporation,Real Estate,REITs,4/7/15,726728
RHT,Red Hat Inc.,Information Technology,Systems Software,7/27/09,1087423
REGN,Regeneron,Health Care,Biotechnology,5/1/13,872589
RF,Regions Financial Corp.,Financials,Diversified Financial Services,,1281761
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,12/5/08,1060391
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,,1275283
RHI,Robert Half International,Industrials,Human Resource & Employment Services,,315213
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,,1024478
COL,Rockwell Collins,Industrials,Industrial Conglomerates,,1137411
ROP,Roper Industries,Industrials,Industrial Conglomerates,12/23/09,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,12/21/09,745732
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",12/5/14,884887
R,Ryder System,Industrials,Industrial Conglomerates,12/31/82,85961
CRM,Salesforce.com,Information Technology,Internet Software & Services,9/15/08,1108524
SCG,SCANA Corp,Utilities,MultiUtilities,1/2/09,754737
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,3/31/65,87347
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,7/1/08,1430602
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,7/2/12,1137789
SEE,Sealed Air,Materials,Paper Packaging,,1012100
SRE,Sempra Energy,Utilities,MultiUtilities,,1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,6/30/64,89800
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,7/29/15,832988
SPG,Simon Property Group Inc,Real Estate,REITs,,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,3/12/15,4127
SLG,SL Green Realty,Real Estate,Office REITs,3/20/15,1040971
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,9/30/82,91440
SO,Southern Co.,Utilities,Electric Utilities,,92122
LUV,Southwest Airlines,Industrials,Airlines,7/1/94,92380
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,6/6/08,7332
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,,1373835
SPGI,"S&P Global, Inc.",Financials,Diversified Financial Services,,64040
STJ,St Jude Medical,Health Care,Health Care Equipment & Services,11/30/89,203077
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,9/30/82,93556
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,,791519
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,,829224
STT,State Street Corp.,Financials,Diversified Financial Services,,93751
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,11/19/08,861878
SYK,Stryker Corp.,Health Care,Health Care Equipment & Services,,310764
STI,SunTrust Banks,Financials,Banks,5/31/88,750556
SYMC,Symantec Corp.,Information Technology,Application Software,3/25/03,849399
SYF,Synchrony Financial,Financials,Consumer Finance,11/18/15,1601712
SYY,Sysco Corp.,Consumer Staples,Food Distributors,12/31/86,96021
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,,1113169
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,12/31/76,27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments,10/17/11,1385157
TGNA,Tegna,Consumer Discretionary,Publishing,12/31/75,39899
TDC,Teradata Corp.,Information Technology,Application Software,10/1/07,816761
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,9/27/07,50104
TXN,Texas Instruments,Information Technology,Semiconductors,,97476
TXT,Textron Inc.,Industrials,Industrial Conglomerates,12/31/78,217346
COO,The Cooper Companies,Health Care,Health Care Supplies,9/23/16,711404
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,,47111
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,,86312
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services,,97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,98246
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,,1105705
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,9/30/85,109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,4/30/89,320335
TSS,Total System Services,Information Technology,Internet Software & Services,1/2/08,721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,1/24/14,916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,6/3/16,1260221
RIG,Transocean,Energy,Oil & Gas Drilling,10/29/13,1451505
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,12/21/11,1526520
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,7/1/13,1308161
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,9/18/15,1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,,100493
UDR,UDR Inc,Real Estate,Residential REITs,3/7/16,74208
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,4/18/16,1403568
USB,U.S. Bancorp,Financials,Banks,,36104
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",5/1/14,1336917
UA.C,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3/25/16,1336917
UNP,Union Pacific,Industrials,Railroads,,100885
UAL,United Continental Holdings,Industrials,Airlines,9/3/15,100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,7/1/94,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,9/20/14,1067701
UTX,United Technologies,Industrials,Industrial Conglomerates,,101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,9/20/14,352915
UNM,Unum Group,Financials,Diversified Financial Services,3/1/94,5513
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,2/8/10,912615
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6/30/79,103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,2/12/07,203527
VTR,Ventas Inc,Real Estate,REITs,3/4/09,740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,10/8/15,1442145
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,11/30/83,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,9/23/13,875320
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,,1339947
V,Visa Inc.,Information Technology,Internet Software & Services,12/21/09,1403161
VNO,Vornado Realty Trust,Real Estate,REITs,,899689
VMC,Vulcan Materials,Materials,Construction Materials,,1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,8/31/82,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,12/31/79,1618921
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,6/30/76,1001039
WM,Waste Management Inc.,Industrials,Environmental Services,,823768
WAT,Waters Corporation,Health Care,Health Care Distributors & Services,,1000697
WFC,Wells Fargo,Financials,Banks,6/30/76,72971
HCN,Welltower Inc.,Real Estate,REITs,1/30/09,766704
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,7/1/09,106040
WU,Western Union Co,Information Technology,Internet Software & Services,,1365135
WRK,Westrock Co,Materials,Paper Packaging,,1636023
WY,Weyerhaeuser Corp.,Real Estate,REITs,,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,,106640
WFM,Whole Foods Market,Consumer Staples,Food Retail,,865436
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,3/31/75,107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,1/5/16,1140536
WEC,Wisconsin Energy Corporation,Utilities,Electric Utilities,10/31/08,783325
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,11/14/08,1174922
XEL,Xcel Energy Inc,Utilities,MultiUtilities,,72903
XRX,Xerox Corp.,Information Technology,IT Consulting & Services,,108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,,743988
XL,XL Capital,Financials,Property & Casualty Insurance,,875159
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,11/1/11,1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,,1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,10/6/97,1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment & Services,,1136869
ZION,Zions Bancorp,Financials,Banks,,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,6/21/13,1555280
