Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
COH,"Coach, Inc.",37.98,$10.65B,n/a,Consumer Non-Durables US,Apparel,http://www.nasdaq.com/symbol/coh
CIE,"Cobalt International Energy US, Inc.",1.24,$508.8M,2009,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/cie
KOF,Coca Cola Femsa S.A.B. de C.V.,64.22,$13.31B,1993,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/kof
KO,Coca-Cola Company (The),41.17,$177.56B,n/a,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ko
CCE,Coca-Cola European Partners plc,35.07,$16.92B,2016,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cce
CDE,"Coeur Mining, Inc.",9.23,$1.57B,n/a,Basic Industries US,Precious Metals,http://www.nasdaq.com/symbol/cde
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",11.24,$305.83M,2006,n/a,n/a,http://www.nasdaq.com/symbol/fof
INB,"Cohen & Steers Global Income Builder, Inc.",8.45,$195.55M,2007,n/a,n/a,http://www.nasdaq.com/symbol/inb
CNS,Cohen & Steers Inc,33.69,$1.55B,2004,Finance US,Investment Managers,http://www.nasdaq.com/symbol/cns
UTF,"Cohen & Steers Infrastructure Fund, Inc",19.17,$1.64B,2004,n/a,n/a,http://www.nasdaq.com/symbol/utf
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",22.76,$656.18M,2012,n/a,n/a,http://www.nasdaq.com/symbol/ldp
MIE,"Cohen & Steers MLP Income and Energy US Opportunity Fund, Inc.",10.09,$270.34M,2013,n/a,n/a,http://www.nasdaq.com/symbol/mie
RQI,Cohen & Steers Quality Income Realty Fund Inc,11.68,$1.28B,2002,n/a,n/a,http://www.nasdaq.com/symbol/rqi
RNP,Cohen & Steers Reit and Preferred Income Fund Inc,18.37,$873.8M,2003,n/a,n/a,http://www.nasdaq.com/symbol/rnp
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc.",25.02,$300M,2010,n/a,n/a,http://www.nasdaq.com/symbol/psf
RFI,"Cohen & Steers Total Return Realty Fund, Inc.",11.95,$312.32M,1993,n/a,n/a,http://www.nasdaq.com/symbol/rfi
CFX,Colfax Corporation,37.5,$4.6B,2008,Capital Goods US,Fluid Controls,http://www.nasdaq.com/symbol/cfx
CL,Colgate-Palmolive Company,66.58,$59.18B,n/a,Consumer Non-Durables US,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/cl
CXE,Colonial High Income Municipal Trust,4.93,$155.31M,1989,n/a,n/a,http://www.nasdaq.com/symbol/cxe
CIF,Colonial Intermediate High Income Fund,2.42,$50.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cif
CXH,Colonial Investment Grade Municipal Trust,9.45,$109.5M,1989,n/a,n/a,http://www.nasdaq.com/symbol/cxh
CMU,Colonial Municipal Income Trust,4.31,$121.97M,1987,n/a,n/a,http://www.nasdaq.com/symbol/cmu
CLNY,"Colony Capital, Inc",18.83,$2.14B,2009,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/clny
CLNY^A,"Colony Capital, Inc",25.33,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clny^a
CLNY^B,"Colony Capital, Inc",24.62,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clny^b
CLNY^C,"Colony Capital, Inc",23.62,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clny^c
SFR,Colony Starwood Homes,29.71,$3.02B,2014,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sfr
CPPL,Columbia Pipeline Partners LP,17.1,$1.72B,2015,Public Utilities US,Natural Gas Distribution,http://www.nasdaq.com/symbol/cppl
CXP,"Columbia Property Trust, Inc.",21.76,$2.69B,2013,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxp
STK,"Columbia Seligman Premium Technology US Growth Fund, Inc",17.6,$270.38M,2009,n/a,n/a,http://www.nasdaq.com/symbol/stk
CCV,Comcast Corporation,25.15,n/a,2012,Consumer Services US,Television Services,http://www.nasdaq.com/symbol/ccv
CCZ,Comcast Corporation,49.33,n/a,n/a,Consumer Services US,Television Services,http://www.nasdaq.com/symbol/ccz
CMA,Comerica Incorporated,59.05,$10.17B,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/cma
CMA.WS,Comerica Incorporated,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cma.ws
FIX,"Comfort Systems USA, Inc.",32.3,$1.2B,1997,Capital Goods US,Engineering & Construction,http://www.nasdaq.com/symbol/fix
CMC,Commercial Metals Company,21.71,$2.5B,n/a,Basic Industries US,Steel/Iron Ore,http://www.nasdaq.com/symbol/cmc
CBU,"Community Bank System, Inc.",54.22,$2.41B,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/cbu
CYH,"Community Health Systems, Inc.",5.33,$605.98M,2000,Health Care US,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyh
CHCT,Community Healthcare Trust Incorporated,21.07,$272.04M,2015,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/chct
CIG,Comp En De Mn Cemig ADS,2.36,$2.97B,n/a,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/cig
CIG.C,Comp En De Mn Cemig ADS,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cig.c
CBD,Companhia Brasileira de Distribuicao,15.62,$4.15B,1997,Consumer Services US,Food Chains,http://www.nasdaq.com/symbol/cbd
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,8.04,$5.5B,2002,Public Utilities US,Water Supply,http://www.nasdaq.com/symbol/sbs
ELP,Companhia Paranaense de Energia (COPEL),8.1,$2.22B,n/a,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/elp
CCU,"Compania Cervecerias Unidas, S.A.",20,$3.7B,n/a,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ccu
CODI,Compass Diversified Holdings,18.65,$1.01B,2006,Consumer Durables US,Home Furnishings,http://www.nasdaq.com/symbol/codi
CMP,"Compass Minerals International, Inc.",76.45,$2.58B,2003,Basic Industries US,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cmp
CSC,Computer Sciences Corporation,60.53,$8.52B,n/a,Technology US,EDP Services,http://www.nasdaq.com/symbol/csc
CRK,"Comstock Resources, Inc.",8.25,$111.01M,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/crk
CAG,"ConAgra Brands, Inc.",35.49,$15.54B,n/a,Consumer Non-Durables US,Packaged Foods,http://www.nasdaq.com/symbol/cag
CXO,Concho Resources Inc.,128.41,$18.75B,2007,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/cxo
CCM,Concord Medical Services Holdings Limited,4.4,$195.06M,2009,Health Care US,Medical/Nursing Services,http://www.nasdaq.com/symbol/ccm
CNNX,Cone Midstream Partners LP,20.85,$1.22B,2014,Public Utilities US,Natural Gas Distribution,http://www.nasdaq.com/symbol/cnnx
COP,ConocoPhillips,44.13,$54.68B,n/a,Energy US,Integrated oil Companies,http://www.nasdaq.com/symbol/cop
CNX,CONSOL Energy US Inc.,18.43,$4.23B,1999,Energy US,Coal Mining,http://www.nasdaq.com/symbol/cnx
ED,Consolidated Edison Inc,69.55,$21.19B,n/a,Public Utilities US,Power Generation,http://www.nasdaq.com/symbol/ed
STZ,Constellation Brands Inc,147.94,$29.75B,n/a,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/stz
STZ.B,Constellation Brands Inc,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/stz.b
CSTM,Constellium N.V.,6.05,$638.42M,2013,Basic Industries US,Metal Fabrications,http://www.nasdaq.com/symbol/cstm
TCS,Container Store (The),5.38,$261.4M,2013,Consumer Services US,Home Furnishings,http://www.nasdaq.com/symbol/tcs
CBPX,"Continental Building Products, Inc.",21.35,$853.84M,2014,Capital Goods US,Building Materials,http://www.nasdaq.com/symbol/cbpx
CLR,"Continental Resources, Inc.",46.77,$17.52B,2007,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/clr
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",15.5,$1.57B,2013,Transportation US,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/vlrs
CVG,Convergys Corporation,24.03,$2.29B,1998,Technology US,EDP Services,http://www.nasdaq.com/symbol/cvg
COO,"Cooper Companies, Inc. (The)",170.13,$8.29B,n/a,Health Care US,Ophthalmic Goods,http://www.nasdaq.com/symbol/coo
CTB,Cooper Tire & Rubber Company,37.3,$1.99B,n/a,Consumer Durables US,Automotive Aftermarket,http://www.nasdaq.com/symbol/ctb
CPS,Cooper-Standard Holdings Inc.,88.42,$1.56B,n/a,Capital Goods US,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cps
CPA,"Copa Holdings, S.A.",88,$3.7B,2005,Transportation US,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/cpa
CLB,Core Laboratories N.V.,105.93,$4.67B,1995,Energy US,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/clb
CXW,"CoreCivic, Inc.",20.8,$2.45B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxw
CLGX,"CoreLogic, Inc.",35.79,$3.09B,n/a,Technology US,EDP Services,http://www.nasdaq.com/symbol/clgx
CORR,"CorEnergy US Infrastructure Trust, Inc.",30.8,$365.79M,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/corr
CORR^A,"CorEnergy US Infrastructure Trust, Inc.",23.51,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/corr^a
COR,CoreSite Realty Corporation,67.3,$2.28B,2010,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cor
COR^A,CoreSite Realty Corporation,25.63,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cor^a
GLW,Corning Incorporated,23.49,$22.34B,n/a,Basic Industries US,Telecommunications Equipment,http://www.nasdaq.com/symbol/glw
GYC,Corporate Asset Backed Corp CABCO,22.94,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/gyc
OFC,Corporate Office Properties Trust,28.71,$2.72B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ofc
OFC^L,Corporate Office Properties Trust,25.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ofc^l
CZZ,Cosan Limited,7.14,$1.89B,n/a,Consumer Non-Durables US,Specialty Foods,http://www.nasdaq.com/symbol/czz
CMRE,Costamare Inc.,7.14,$540.48M,2010,Transportation US,Marine Transportation US,http://www.nasdaq.com/symbol/cmre
CMRE^B,Costamare Inc.,19.3412,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^b
CMRE^C,Costamare Inc.,19.18,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^c
CMRE^D,Costamare Inc.,19.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^d
COTV,"Cotiviti Holdings, Inc.",32.96,$2.97B,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cotv
COT,Cott Corporation,12.19,$1.69B,n/a,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cot
COTY,Coty Inc.,18.24,$13.61B,2013,Consumer Non-Durables US,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/coty
CFC^B,Countrywide Financial Corporation,25.39,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfc^b
CUZ,Cousins Properties Incorporated,7.75,$3.05B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,14.7,$1.92B,n/a,Basic Industries US,Electric Utilities: Central,http://www.nasdaq.com/symbol/cva
CPF,CPB Inc.,29.71,$915.98M,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/cpf
CPL,CPFL Energia S.A.,13.7,$6.97B,2004,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpl
CR,Crane Company,74.67,$4.38B,n/a,Capital Goods US,Metal Fabrications,http://www.nasdaq.com/symbol/cr
CRD.A,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.b
BAP,Credicorp Ltd.,152.65,$14.41B,n/a,Finance US,Commercial Banks,http://www.nasdaq.com/symbol/bap
CS,Credit Suisse Group,14.89,$31.09B,n/a,Finance US,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cs
CPG,Crescent Point Energy US Corporation,11.37,$6.16B,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/cpg
CEQP,Crestwood Equity Partners LP,21.4,$1.48B,n/a,Consumer Services US,Other Consumer Services US,http://www.nasdaq.com/symbol/ceqp
CRH,CRH PLC,34.92,$28.77B,n/a,Capital Goods US,Building Materials,http://www.nasdaq.com/symbol/crh
CRT,Cross Timbers Royalty Trust,17.3,$103.8M,1992,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/crt
CAPL,CrossAmerica Partners LP,25.31,$848.23M,2012,Energy US,Oil Refining/Marketing,http://www.nasdaq.com/symbol/capl
CCI,Crown Castle International Corporation,81.99,$29.57B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cci
CCK,"Crown Holdings, Inc.",53.57,$7.49B,n/a,Consumer Durables US,Containers/Packaging,http://www.nasdaq.com/symbol/cck
CRY,"CryoLife, Inc.",18.7,$614.27M,n/a,Health Care US,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cry
CSRA,CSRA Inc.,31.95,$5.22B,2015,Technology US,EDP Services,http://www.nasdaq.com/symbol/csra
CSS,"CSS Industries, Inc.",25.96,$235.66M,n/a,Consumer Services US,Consumer: Greeting Cards,http://www.nasdaq.com/symbol/css
CST,"CST Brands, Inc.",48.25,$3.65B,n/a,Consumer Durables US,Automotive Aftermarket,http://www.nasdaq.com/symbol/cst
CTS,CTS Corporation,21.65,$709.26M,n/a,Technology US,Electrical Products,http://www.nasdaq.com/symbol/cts
CUBE,CubeSmart,25.98,$4.68B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cube
CUB,Cubic Corporation,49.15,$1.33B,n/a,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cub
CFR,"Cullen/Frost Bankers, Inc.",83.76,$5.27B,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/cfr
CFR^A,"Cullen/Frost Bankers, Inc.",24.31,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfr^a
CFI,"Culp, Inc.",32.65,$401.82M,n/a,Basic Industries US,Textiles,http://www.nasdaq.com/symbol/cfi
CMI,Cummins Inc.,134.74,$22.67B,n/a,Energy US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cmi
CW,Curtiss-Wright Corporation,97.41,$4.31B,n/a,Technology US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw
SRF,Cushing Energy US Income Fund (The),9.48,$23.46M,2012,n/a,n/a,http://www.nasdaq.com/symbol/srf
SZC,Cushing Renaissance Fund (The),16.47,$99.71M,2012,n/a,n/a,http://www.nasdaq.com/symbol/szc
CUBI,"Customers Bancorp, Inc",29.14,$873.01M,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/cubi
CUBI^C,"Customers Bancorp, Inc",25.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^c
CUBI^D,"Customers Bancorp, Inc",25.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^d
CUBI^E,"Customers Bancorp, Inc",25.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^e
CUBI^F,"Customers Bancorp, Inc",23.221,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^f
CUBS,"Customers Bancorp, Inc",26.55,n/a,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/cubs
CSI,Cutwater Select Income Fund,18.56,$198.75M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/csi
CVT,"CVENT, INC.",30.69,$1.3B,2013,Technology US,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvt
CVI,CVR Energy US Inc.,16.33,$1.42B,2007,Energy US,Integrated oil Companies,http://www.nasdaq.com/symbol/cvi
UAN,"CVR Partners, LP",4.63,$524.5M,2011,Basic Industries US,Agricultural Chemicals,http://www.nasdaq.com/symbol/uan
CVRR,"CVR Refining, LP",8.2,$1.21B,2013,Energy US,Integrated oil Companies,http://www.nasdaq.com/symbol/cvrr
CVS,CVS Health Corporation,76,$81.05B,n/a,Health Care US,Medical/Nursing Services,http://www.nasdaq.com/symbol/cvs
CELP,"Cypress Energy US Partners, L.P.",9.84,$116.69M,2014,Energy US,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/celp
CYS,"CYS Investments, Inc.",8.01,$1.21B,2009,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cys
CYS^A,"CYS Investments, Inc.",23.1139,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cys^a
CYS^B,"CYS Investments, Inc.",22.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cys^b
DHI,"D.R. Horton, Inc.",27.97,$10.43B,n/a,Capital Goods US,Homebuilding,http://www.nasdaq.com/symbol/dhi
CB,D/B/A Chubb Limited New,126.9,$59.05B,n/a,Finance US,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cb
DAN,Dana Incorporated,16.29,$2.34B,n/a,Capital Goods US,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dan
DHR,Danaher Corporation,79.1,$54.71B,n/a,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dhr
DAC,Danaos Corporation,2.35,$258.03M,2006,Transportation US,Marine Transportation US,http://www.nasdaq.com/symbol/dac
DQ,DAQO New Energy US Corp.,21.89,$228.39M,2010,Technology US,Semiconductors,http://www.nasdaq.com/symbol/dq
DRI,"Darden Restaurants, Inc.",72.51,$8.92B,n/a,Consumer Services US,Restaurants,http://www.nasdaq.com/symbol/dri
DAR,Darling Ingredients Inc.,13.51,$2.22B,n/a,Consumer Non-Durables US,Packaged Foods,http://www.nasdaq.com/symbol/dar
DVA,DaVita Inc.,60.59,$11.96B,n/a,Health Care US,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dva
DPM,"DCP Midstream Partners, LP",33.58,$3.85B,2005,Public Utilities US,Natural Gas Distribution,http://www.nasdaq.com/symbol/dpm
DCT,DCT Industrial Trust Inc,44.15,$4.02B,2006,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dct
DDR,DDR Corp.,15.28,$5.6B,1993,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ddr
DDR^J,DDR Corp.,24.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^j
DDR^K,DDR Corp.,24.62,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^k
DF,Dean Foods Company,18.83,$1.7B,n/a,Consumer Non-Durables US,Packaged Foods,http://www.nasdaq.com/symbol/df
DECK,Deckers Outdoor Corporation,61.37,$1.97B,1993,Consumer Non-Durables US,Shoe Manufacturing,http://www.nasdaq.com/symbol/deck
DE,Deere & Company,91.62,$28.81B,n/a,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/de
DEX,Delaware Enhanced Global Dividend,9.38,$148.8M,2007,n/a,n/a,http://www.nasdaq.com/symbol/dex
DDF,"Delaware Investments Dividend & Income Fund, Inc.",9.47,$76.64M,1993,n/a,n/a,http://www.nasdaq.com/symbol/ddf
DKL,"Delek Logistics Partners, L.P.",23.85,$579.67M,2012,Energy US,Natural Gas Distribution,http://www.nasdaq.com/symbol/dkl
DK,"Delek US Holdings, Inc.",17.66,$1.09B,2006,Energy US,Integrated oil Companies,http://www.nasdaq.com/symbol/dk
DVMT,Dell Technologies Inc.,48.99,$10.92B,n/a,Technology US,Computer Manufacturing,http://www.nasdaq.com/symbol/dvmt
DLPH,Delphi Automotive plc,66.56,$18.03B,2011,Capital Goods US,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dlph
DAL,"Delta Air Lines, Inc.",47.47,$34.96B,n/a,Transportation US,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/dal
DEL,Deltic Timber Corporation,69.01,$838.98M,n/a,Basic Industries US,Forest Products,http://www.nasdaq.com/symbol/del
DLX,Deluxe Corporation,66.79,$3.25B,n/a,Consumer Durables US,Publishing,http://www.nasdaq.com/symbol/dlx
DNR,Denbury Resources Inc.,2.92,$1.16B,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/dnr
DKT,Deutsch Bk Contingent Cap Tr V,24.3,n/a,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/dkt
DB,Deutsche Bank AG,16.64,$22.94B,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/db
DTK,Deutsche Bank AG,23.81,n/a,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/dtk
DXB,Deutsche Bank AG,22.83,n/a,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/dxb
DVN,Devon Energy US Corporation,42.81,$22.42B,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/dvn
DV,DeVry Education Group Inc.,27.9,$1.75B,n/a,Consumer Services US,Other Consumer Services US,http://www.nasdaq.com/symbol/dv
DHX,"DHI Group, Inc.",5.95,$296.19M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/dhx
DHT,"DHT Holdings, Inc.",3.69,$344.52M,2005,Transportation US,Marine Transportation US,http://www.nasdaq.com/symbol/dht
DEO,Diageo plc,100.06,$68.9B,n/a,Consumer Non-Durables US,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/deo
DO,"Diamond Offshore Drilling, Inc.",16.36,$2.24B,1995,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/do
DRH,Diamondrock Hospitality Company,10.48,$2.1B,2005,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/drh
DSX,Diana Shipping inc.,3.57,$294.69M,2005,Transportation US,Marine Transportation US,http://www.nasdaq.com/symbol/dsx
DSX^B,Diana Shipping inc.,16.23,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dsx^b
DSXN,Diana Shipping inc.,22,n/a,2015,Transportation US,Marine Transportation US,http://www.nasdaq.com/symbol/dsxn
DKS,Dick&#39;s Sporting Goods Inc,60.89,$6.88B,2002,Consumer Services US,Other Specialty Stores,http://www.nasdaq.com/symbol/dks
DBD,"Diebold, Incorporated",24.8,$1.62B,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/dbd
DLR,"Digital Realty Trust, Inc.",89.97,$14.3B,2004,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dlr
DLR^F,"Digital Realty Trust, Inc.",24.92,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^f
DLR^G,"Digital Realty Trust, Inc.",23.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^g
DLR^H,"Digital Realty Trust, Inc.",26.56,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^h
DLR^I,"Digital Realty Trust, Inc.",24.5568,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^i
DGI,"DigitalGlobe, Inc",29.9,$1.86B,2009,Consumer Services US,Telecommunications Equipment,http://www.nasdaq.com/symbol/dgi
DDS,"Dillard&#39;s, Inc.",71.22,$2.39B,n/a,Consumer Services US,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dds
DDT,"Dillard&#39;s, Inc.",25.4,n/a,n/a,Consumer Services US,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/ddt
DIN,"DineEquity, Inc",85.22,$1.54B,n/a,Consumer Services US,Restaurants,http://www.nasdaq.com/symbol/din
DPLO,"Diplomat Pharmacy, Inc.",14.9,$994.29M,2014,Health Care US,Medical/Nursing Services,http://www.nasdaq.com/symbol/dplo
DFS,Discover Financial Services,66.7,$26.31B,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/dfs
DFS^B,Discover Financial Services,25.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfs^b
DRA,Diversified Real Asset Income Fund,15.25,$272.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dra
DNI,Dividend and Income Fund,11.16,$117.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dni
DLB,Dolby Laboratories,47.3,$4.78B,2005,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/dlb
DG,Dollar General Corporation,76.66,$21.6B,2009,Consumer Services US,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dg
DDC,Dominion Diamond Corporation,8.45,$712M,n/a,Basic Industries US,Precious Metals,http://www.nasdaq.com/symbol/ddc
DM,"Dominion Midstream Partners, LP",25.35,$2.36B,2014,Public Utilities US,Natural Gas Distribution,http://www.nasdaq.com/symbol/dm
D,"Dominion Resources, Inc.",69.99,$43.87B,n/a,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/d
DCUC,"Dominion Resources, Inc.",48.93,$30.67B,n/a,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/dcuc
DCUD,"Dominion Resources, Inc.",47.6099,n/a,2016,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/dcud
DRUA,"Dominion Resources, Inc.",21.98,n/a,2016,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/drua
DPZ,Domino&#39;s Pizza Inc,157.17,$7.56B,2004,Consumer Non-Durables US,Food Distributors,http://www.nasdaq.com/symbol/dpz
UFS,Domtar Corporation,37.89,$2.46B,n/a,Basic Industries US,Paper,http://www.nasdaq.com/symbol/ufs
DCI,"Donaldson Company, Inc.",40.93,$5.43B,n/a,Capital Goods US,Pollution Control Equipment,http://www.nasdaq.com/symbol/dci
DFIN,"Donnelley Financial Solutions, Inc.",20.31,$662.11M,2016,Consumer Services US,Other Consumer Services US,http://www.nasdaq.com/symbol/dfin
LPG,Dorian LPG Ltd.,6.72,$369.31M,2014,Transportation US,Marine Transportation US,http://www.nasdaq.com/symbol/lpg
DSL,DoubleLine Income Solutions Fund,17.7,$1.79B,2013,n/a,n/a,http://www.nasdaq.com/symbol/dsl
DBL,DoubleLine Opportunistic Credit Fund,23.17,$343.98M,2012,n/a,n/a,http://www.nasdaq.com/symbol/dbl
PLOW,"Douglas Dynamics, Inc.",31.05,$698.68M,2010,Capital Goods US,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/plow
DEI,"Douglas Emmett, Inc.",34.65,$5.25B,2006,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dei
DOV,Dover Corporation,71.03,$11.03B,n/a,Technology US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov
DDE,Dover Downs Gaming & Entertainment Inc,1.0873,$35.9M,n/a,Consumer Services US,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dde
